,date,visitor,home,visitor_score,home_score,visitor_first_downs,visitor_net_yards,visitor_total_plays,visitor_avg_gain,visitor_time_of_possession,home_first_downs,home_net_yards,home_total_plays,home_avg_gain,home_time_of_possession
199,2014-12-07,Indianapolis,Cleveland,25,24,23,362,76,4.8,28:04,14,248,63,3.9,31:56
200,2014-12-07,Tampa Bay,Detroit,17,34,15,233,59,3.9,23:25,22,407,69,5.9,36:35
201,2014-12-07,Houston,Jacksonville,27,13,19,304,63,4.8,32:29,17,262,66,4.0,27:31
202,2014-12-07,Buffalo,Denver,17,24,24,415,77,5.4,33:29,15,306,49,6.2,26:31
203,2014-12-07,Seattle,Philadelphia,24,14,28,440,85,5.2,41:56,9,139,45,3.1,18:04
204,2014-12-07,Kansas City,Arizona,14,17,19,390,61,6.4,29:59,18,366,65,5.6,30:01
205,2014-12-07,San Francisco,Oakland,13,24,18,248,56,4.4,27:05,19,330,60,5.5,32:55
206,2014-12-07,New England,San Diego,23,14,24,397,73,5.4,34:33,13,216,54,4.0,25:27
207,2014-12-08,Atlanta,Green Bay,37,43,26,465,64,7.3,26:59,28,502,67,7.5,33:01
208,2014-12-11,Arizona,St. Louis,12,6,13,274,64,4.3,34:24,13,280,61,4.6,25:36
209,2014-12-14,Pittsburgh,Atlanta,27,20,22,398,58,6.9,30:43,20,407,57,7.1,29:17
210,2014-12-14,Miami,New England,13,41,23,384,74,5.2,33:46,23,395,64,6.2,26:14
211,2014-12-14,Washington,NY Giants,13,24,21,372,68,5.5,32:31,17,287,57,5.0,27:29
212,2014-12-14,Oakland,Kansas City,13,31,17,280,77,3.6,30:00,16,388,59,6.6,30:00
213,2014-12-14,Tampa Bay,Carolina,17,19,15,287,54,5.3,22:37,28,392,75,5.2,37:23
214,2014-12-14,Houston,Indianapolis,10,17,14,289,67,4.3,31:05,20,278,64,4.3,28:55
215,2014-12-14,Jacksonville,Baltimore,12,20,13,248,69,3.6,31:42,17,314,56,5.6,28:18
216,2014-12-14,Green Bay,Buffalo,13,21,21,333,67,5.0,27:02,13,253,63,4.0,32:58
217,2014-12-14,Cincinnati,Cleveland,30,0,24,347,71,4.9,38:52,5,107,38,2.8,21:08
218,2014-12-14,Minnesota,Detroit,14,16,21,360,66,5.5,34:43,11,233,50,4.7,25:17
219,2014-12-14,Denver,San Diego,22,10,18,337,61,5.5,32:44,20,288,61,4.7,27:16
220,2014-12-14,Dallas,Philadelphia,38,27,26,364,76,4.8,41:55,19,294,53,5.5,18:05
221,2014-12-14,NY Jets,Tennessee,16,11,17,277,60,4.6,30:03,17,342,64,5.3,29:57
222,2014-12-14,San Francisco,Seattle,7,17,14,245,57,4.3,31:02,18,290,61,4.8,28:58
223,2014-12-15,New Orleans,Chicago,31,15,25,443,64,6.9,33:31,16,278,58,4.8,26:29
224,2014-12-18,Tennessee,Jacksonville,13,21,19,357,67,5.3,34:52,17,288,56,5.1,25:08
225,2014-12-20,San Diego,San Francisco,38,35,28,446,80,5.6,34:19,21,447,66,6.8,30:35
226,2014-12-21,Minnesota,Miami,35,37,20,357,58,6.2,26:54,36,493,77,6.4,33:06
227,2014-12-20,Philadelphia,Washington,24,27,30,495,84,5.9,32:04,21,305,54,5.6,27:56
228,2014-12-21,Baltimore,Houston,13,25,15,211,68,3.1,25:02,18,313,81,3.9,34:58
229,2014-12-21,Atlanta,New Orleans,30,14,18,403,62,6.5,32:09,22,328,70,4.7,27:51
230,2014-12-21,Detroit,Chicago,20,14,22,367,69,5.3,31:56,17,234,63,3.7,28:04
231,2014-12-21,Green Bay,Tampa Bay,20,3,23,431,72,6.0,38:38,6,109,47,2.3,21:22
232,2014-12-21,NY Giants,St. Louis,37,27,19,514,67,7.7,34:47,23,387,54,7.2,25:13
233,2014-12-21,New England,NY Jets,17,16,19,231,63,3.7,27:39,16,307,61,5.0,32:21
234,2014-12-21,Kansas City,Pittsburgh,12,20,22,327,66,5.0,31:07,19,282,52,5.4,28:53
235,2014-12-21,Cleveland,Carolina,13,17,8,228,46,5.0,21:57,27,404,77,5.2,38:03
236,2014-12-21,Indianapolis,Dallas,7,42,17,229,56,4.1,24:31,25,377,62,6.1,35:29
237,2014-12-28,Jacksonville,Houston,17,23,13,233,53,4.4,20:12,24,358,77,4.6,39:48
238,2014-12-21,Seattle,Arizona,35,6,23,596,67,8.9,33:03,17,216,64,3.4,26:57
239,2014-12-28,Indianapolis,Tennessee,27,10,16,378,66,5.7,33:26,9,192,59,3.3,26:34
240,2014-12-28,Cleveland,Baltimore,10,20,16,259,61,4.2,30:43,22,419,65,6.4,29:17
241,2014-12-21,Buffalo,Oakland,24,26,15,321,64,5.0,26:13,18,347,71,4.9,33:47
242,2014-12-22,Denver,Cincinnati,28,37,22,385,65,5.9,28:22,20,353,62,5.7,31:38
243,2014-12-28,San Diego,Kansas City,7,19,21,361,66,5.5,31:21,15,251,57,4.4,28:39
244,2014-12-28,Dallas,Washington,44,17,20,473,61,7.8,30:24,20,413,68,6.1,29:36
245,2014-12-28,Buffalo,New England,17,9,16,268,58,4.6,29:03,14,260,62,4.2,30:57
246,2014-12-28,Philadelphia,NY Giants,34,26,23,426,72,5.9,25:23,22,505,78,6.5,34:37
247,2014-12-28,New Orleans,Tampa Bay,23,20,20,338,63,5.4,27:13,18,280,65,4.3,32:47
248,2014-12-28,NY Jets,Miami,37,24,18,494,62,8.0,31:16,23,387,66,5.9,28:44
249,2014-12-28,Detroit,Green Bay,20,30,23,313,66,4.7,25:42,24,377,62,6.1,34:18
250,2014-12-28,Chicago,Minnesota,9,13,12,264,59,4.5,31:33,15,311,61,5.1,28:27
251,2014-12-28,Carolina,Atlanta,34,3,17,306,52,5.9,31:13,16,288,69,4.2,28:47
252,2014-12-28,Oakland,Denver,14,47,10,199,57,3.5,26:59,25,451,74,6.1,33:01
253,2014-12-28,Arizona,San Francisco,17,20,26,397,67,5.9,30:36,18,395,60,6.6,29:24
